,match_id,detected_matches,valid_matches(SuperPoint),valid_matches(ORB),inlier_rate,detection_time_SuperPoint,detection_time_ORB,EulerZ_error(degree),EulerY_error(degree),EulerX_error(degree),t1_error(m),t2_error(m),t3_error(m),delta_R_SuperPoint,delta_R_ORB
124,match620,672,274,133,0.40773809523809523,1.0417352740187198,0.015142073039896786,-0.5379702017914934,-0.019281932646191848,-0.6141524548391081,-0.076479406889719,0.08057383914856181,-0.040282863016726955,0.8166106797353543,2.946345386283264
125,match625,637,270,123,0.423861852433281,1.0441835160017945,0.014566579018719494,-0.5529827485656568,-0.4767363739787186,1.6501067820219468,-0.07058738415910175,0.08641873725014056,-0.039312364648138635,1.806508698220923,4.668620670356468
126,match630,754,404,161,0.5358090185676393,1.0780846350244246,0.014417555008549243,0.8047696944541697,0.7945635323481933,0.9858451984975756,-0.02056894615545222,-0.023415025367943657,-0.049723186615624526,1.5039403787127381,1.609956086523998
127,match635,731,310,191,0.4240766073871409,1.0665514300344512,0.014602594019379467,-0.42331415250601845,-1.15232887197942,0.2746316504116258,-0.04773249979948314,-0.06267044571519692,-0.013767895897893654,1.2588917510234583,2.4873022619931984
128,match640,676,225,133,0.3328402366863905,1.0830068580107763,0.014894654043018818,-0.4866726410990546,-0.7076482863173178,2.1973248823149967,-0.07286701793935761,0.031749612812021544,-0.0004231796287106071,2.3619837516105058,4.814232963138556
129,match645,658,199,131,0.30243161094224924,1.0417441260069609,0.014800696983002126,0.5678277566527864,0.9368454076549866,0.11355226141769494,-0.14393715091606973,0.02809724207788205,0.006275814806308892,1.101838691870493,5.250617551400194
130,match650,659,190,162,0.2883156297420334,1.050974457000848,0.014410139003302902,1.5541120509689539,2.1695394107677224,-0.7300268058930737,-0.18486949562443153,0.01412018156490612,0.0028098347299177415,2.758941744236863,4.489715261248517
131,match655,615,119,132,0.19349593495934958,1.0614932750468142,0.015518950996920466,4.418372030209778,1.5262555979371377,-0.45246666708287525,-0.18347279190174992,-0.028424379060849946,-0.006085136280730541,4.690593929275129,10.872927657174431
132,match660,636,127,130,0.19968553459119498,1.0666943350224756,0.023391137016005814,4.484538435871311,-3.8802947680756663,2.3390124413045,-0.22914173811931052,-0.1120220988925713,0.008422165611900356,6.317895235377253,11.364138521088966
133,match665,723,220,144,0.30428769017980634,1.0385921639972366,0.014760722988285124,2.136665293585235,-1.7816107391124576,0.12155600192032999,-0.10996362011644707,0.014553291201528462,0.014641149947299363,2.783128521993836,6.6836823132545735
134,match670,650,162,138,0.24923076923076923,1.0432122380007058,0.014885617012623698,-2.551203219673042,-4.890411076156522,0.4468574313682116,-0.224767644495962,0.0577178606866884,0.027846611528069075,5.542349599224262,5.248720473241369
135,match675,671,145,101,0.21609538002980627,1.0735026500187814,0.016261625045444816,-1.3434241767758095,-3.637032930277128,-0.48135758574720156,-0.18297314951743174,0.03148862715060248,0.03816992879301775,3.9016353504776617,7.133846099081902
136,match680,620,129,99,0.20806451612903226,1.0588298690272495,0.015269312949385494,-1.5803241560195016,-2.601280227773071,0.039228397451958344,-0.13471317974583316,0.022024088601871834,0.021889919067068313,3.0443402123289953,6.676650486376003
137,match685,527,107,69,0.2030360531309298,1.0662851149681956,0.01425895601278171,-1.8057042120785207,-2.730827468877265,0.1901912543546884,-0.2005209451310652,0.02724699321740905,0.014866875303617471,3.2817526507236567,7.4381226427609475
138,match690,454,58,104,0.1277533039647577,1.0540384009946138,0.013973769033327699,0.613914285121581,-2.761526806051036,-1.375561699774288,-0.23509130194914993,0.04758148324266364,0.02801524300671799,3.1520367303973478,15.780224263665692
139,match695,400,56,59,0.14,1.0527760210097767,0.014592910010833293,-0.04868231173016073,13.158343936226533,-1.7614848430447017,-0.08192699400152045,0.027605502767306837,0.4323544096050287,13.27604035201842,13.599550843456433
140,match700,407,72,64,0.1769041769041769,1.0741618449683301,0.013998398964758962,-4.112227178882614,6.467446252449131,0.5757538271868963,0.1576079836021895,-0.03160453478560135,-0.12999657157475314,7.667076200880851,6.041835111071936
141,match705,469,108,77,0.2302771855010661,1.0846719010150991,0.014384751964826137,-4.56446271008039,-2.511257935806772,1.3695833887141329,-0.19018805580363607,-0.014728778213787558,-0.004979588979226027,5.411641608574293,5.595512480242889
142,match710,514,119,80,0.23151750972762647,1.0547743029892445,0.013936702976934612,-1.034683823059213,-5.38527932442274,4.4589138056410444,-0.16690919368757395,-0.07881079756975459,-0.002119555007651458,7.097279872016275,2.660787569715628
143,match715,505,107,105,0.21188118811881188,1.0853768939850852,0.013715641049202532,-6.18262350273823,-0.5703585070838285,6.51169170284472,0.01906273029552552,-0.15966557443293983,-0.051352123896992855,9.017272994060267,5.3150740978730395
144,match720,499,138,123,0.27655310621242485,1.065914088045247,0.013650592998601496,-3.308701062879262,1.1804862598765746,-1.6206577216255467,0.015509098166832588,-0.0657206630287689,0.027755596248518772,3.8828923226141514,6.315147829178706
145,match725,537,225,146,0.41899441340782123,1.0639611899969168,0.012873359024524689,-4.67117822303995,1.0842544221985182,1.3693122293158995,-0.00431399761608872,0.03655077335264882,-0.017268908693445793,4.974710189489229,5.536802660574845
146,match730,601,239,178,0.39767054908485855,1.0540070529677905,0.01390489301411435,-1.8484332971582562,-0.09072579662659601,1.5554960170076797,-0.006243374258269526,0.03979847141961651,0.022672868484099547,2.4184388407869966,5.106935271961054
147,match735,446,99,79,0.2219730941704036,1.0662996280007064,0.014434140000957996,8.304324554958336,1.2348314927846267,-2.012508991432705,0.096907595304097,-0.03603344425627558,0.02149015950182677,8.612009198253475,8.10042208192345
148,match740,412,82,58,0.19902912621359223,1.085410718980711,0.015082895988598466,7.518489650318749,-6.604193194174961,-2.614648092641515,-0.0329578265029229,0.0024844547391966194,0.21238732638292201,10.44822359412473,6.545299711962233
